2026/04/29 04:34:27 [error] 662653#662653: *2157 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:28 [error] 662653#662653: *2159 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:29 [error] 662653#662653: *2161 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:29 [error] 662653#662653: *2163 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/popular-users HTTP/1.1", upstream: "http://127.0.0.1:8082/api/public/popular-users", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:29 [error] 662653#662653: *2165 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:29 [error] 662653#662653: *2167 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:29 [error] 662653#662653: *2169 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:30 [error] 662653#662653: *2171 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:30 [error] 662653#662653: *2173 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:31 [error] 662653#662653: *2175 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:31 [error] 662653#662653: *2177 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:31 [error] 662653#662653: *2179 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
